Blancas;Negras;Resultado Blancas;Resultado Negras;ECO;Apertura;Variaci¢n
Minic 3.31 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A00;Aperturas Irregulares;
Caissa 1.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Caissa 1.9 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Caissa 1.11 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Caissa 1.11 64-bit 4CPU;1;0;A00;Aperturas Irregulares;
Torch v1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Torch v1 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Caissa 1.13.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Caissa 1.13.1 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Carp 3.0.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A00;Aperturas Irregulares;
Velvet 7.1.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Velvet 7.1.0 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Velvet 7.1.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Velvet 7.1.0 64-bit 4CPU;1;0;A00;Aperturas Irregulares;
Velvet 7.1.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Velvet 7.1.0 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Velvet 7.1.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Velvet 7.1.0 64-bit 4CPU;1;0;A00;Aperturas Irregulares;
Velvet 7.1.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Velvet 7.1.0 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Velvet 7.1.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Velvet 7.1.0 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Velvet 7.1.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Velvet 7.1.0 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Midnight 9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Midnight 9 64-bit 4CPU;1;0;A00;Aperturas Irregulares;
Midnight 9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Midnight 9 64-bit 4CPU;1;0;A00;Aperturas Irregulares;
Midnight 9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Midnight 9 64-bit 4CPU;1;0;A00;Aperturas Irregulares;
Midnight 9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Midnight 9 64-bit 4CPU;1;0;A00;Aperturas Irregulares;
Midnight 9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Midnight 9 64-bit 4CPU;1;0;A00;Aperturas Irregulares;
Stockfish 16 64-bit 4CPU;Revenge 3.0 64-bit 4CPU;0,5;0,5;B09;Ataque Austriaco;
Revenge 3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B09;Ataque Austriaco;
Caissa 1.12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B09;Ataque Austriaco;
Stockfish 16 64-bit 4CPU;Caissa 1.12 64-bit 4CPU;1;0;B09;Ataque Austriaco;
Dragon by Komodo 3.3 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B03;Ataque Cuatro Peones;
Stockfish 16 64-bit 4CPU;Dragon by Komodo 3.3 64-bit 4CPU;0,5;0,5;B03;Ataque Cuatro Peones;
Seer 2.8.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B03;Ataque Cuatro Peones;
Stockfish 16 64-bit 4CPU;Seer 2.8.0 64-bit 4CPU;0,5;0,5;B03;Ataque Cuatro Peones;
Deep Sjeng 3.6 a16 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;C84;Ataque de Centro;
Stockfish 16 64-bit 4CPU;Deep Sjeng 3.6 a16 64-bit 4CPU;0,5;0,5;C84;Ataque de Centro;
Deep Sjeng 3.6 a16 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;C84;Ataque de Centro;
Stockfish 16 64-bit 4CPU;Deep Sjeng 3.6 a16 64-bit 4CPU;0,5;0,5;C84;Ataque de Centro;
Ginkgo Valencia 1.01 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;C84;Ataque de Centro;
Stockfish 16 64-bit 4CPU;Ginkgo Valencia 1.01 64-bit 4CPU;0,5;0,5;C84;Ataque de Centro;
Viridithas 11.0.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;C84;Ataque de Centro;
Stockfish 16 64-bit 4CPU;Viridithas 11.0.0 64-bit 4CPU;0,5;0,5;C84;Ataque de Centro;
Minic 3.39 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;C84;Ataque de Centro;
Stockfish 16 64-bit 4CPU;Minic 3.39 64-bit 4CPU;1;0;C84;Ataque de Centro;
Igel 3.5.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Igel 3.5.0 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Clover 6.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Clover 6.0 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Caissa 1.12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A06;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Caissa 1.12 64-bit 4CPU;1;0;A06;Ataque Indio de Rey;
Velvet 5.3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A06;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Velvet 5.3.0 64-bit 4CPU;1;0;A06;Ataque Indio de Rey;
Rebel EAS 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Rebel EAS 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Rebel EAS 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A06;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Rebel EAS 64-bit 4CPU;0,5;0,5;A06;Ataque Indio de Rey;
RubiChess 20230918 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;RubiChess 20230918 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
rofChade 3.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;rofChade 3.1 64-bit 4CPU;1;0;A04;Ataque Indio de Rey;
Ginkgo Valencia 1.01 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A06;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Ginkgo Valencia 1.01 64-bit 4CPU;0,5;0,5;A06;Ataque Indio de Rey;
Torch v1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Torch v1 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Ethereal 14.25 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A05;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Ethereal 14.25 64-bit 4CPU;0,5;0,5;A05;Ataque Indio de Rey;
Viridithas 11.0.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Viridithas 11.0.0 64-bit 4CPU;1;0;A07;Ataque Indio de Rey;
Minic 3.39 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A09;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Minic 3.39 64-bit 4CPU;1;0;A09;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Carp 3.0.0 64-bit 4CPU;0,5;0,5;A08;Ataque Indio de Rey;
Carp 3.0.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A04;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Carp 3.0.0 64-bit 4CPU;1;0;A04;Ataque Indio de Rey;
Obsidian 8.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Obsidian 8.0 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Obsidian 9.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Obsidian 9.0 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Obsidian 9.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A06;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Obsidian 9.0 64-bit 4CPU;1;0;A06;Ataque Indio de Rey;
Clover 6.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Clover 6.1 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Clover 6.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A06;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Clover 6.1 64-bit 4CPU;0,5;0,5;A06;Ataque Indio de Rey;
Seer 2.8.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Seer 2.8.0 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Arasan 24.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A09;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Arasan 24.1 64-bit 4CPU;0,5;0,5;A09;Ataque Indio de Rey;
Booot 7.3 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Booot 7.3 64-bit 4CPU;1;0;A07;Ataque Indio de Rey;
Midnight 9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Midnight 9 64-bit 4CPU;1;0;A04;Ataque Indio de Rey;
Midnight 9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A06;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Midnight 9 64-bit 4CPU;1;0;A06;Ataque Indio de Rey;
Torch v2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;rofChade 3.1 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
Chess System Tal 2.00 Elo 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A04;Ataque Indio de Rey;
Stockfish 16 64-bit 4CPU;Obsidian 11.0 64-bit 4CPU;0,5;0,5;A07;Ataque Indio de Rey;
rofChade 3.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A01;Ataque Larsen;
Stockfish 16 64-bit 4CPU;rofChade 3.1 64-bit 4CPU;1;0;A01;Ataque Larsen;
Ethereal 14.25 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A01;Ataque Larsen;
Stockfish 16 64-bit 4CPU;Ethereal 14.25 64-bit 4CPU;0,5;0,5;A01;Ataque Larsen;
Seer 2.8.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A01;Ataque Larsen;
Stockfish 16 64-bit 4CPU;Seer 2.8.0 64-bit 4CPU;0,5;0,5;A01;Ataque Larsen;
Velvet 7.1.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A01;Ataque Larsen;
Stockfish 16 64-bit 4CPU;Velvet 7.1.0 64-bit 4CPU;0,5;0,5;A01;Ataque Larsen;
Stockfish 16 64-bit 4CPU;Velvet 7.1.0 64-bit 4CPU;0,5;0,5;A01;Ataque Larsen;
Velvet 7.1.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A01;Ataque Larsen;
Stockfish 16 64-bit 4CPU;Velvet 7.1.0 64-bit 4CPU;1;0;A01;Ataque Larsen;
Torch v1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A01;Ataque Larsen;
Stockfish 16 64-bit 4CPU;Berserk 13 64-bit 4CPU;1;0;A01;Ataque Larsen;
Stockfish 16 64-bit 4CPU;Rebel 16.3 64-bit 4CPU;0,5;0,5;A01;Ataque Larsen;
Stockfish 16 64-bit 4CPU;Revenge 3.0 64-bit 4CPU;0,5;0,5;B69;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Rebel 16.2 64-bit 4CPU;1;0;B67;Ataque Richter Rauzer;
Rebel 16.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B67;Ataque Richter Rauzer;
Revenge 3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B68;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;SlowChess Blitz 2.9 64-bit 4CPU;0,5;0,5;B67;Ataque Richter Rauzer;
SlowChess Blitz 2.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B67;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Wasp 6.50 64-bit 4CPU;1;0;B67;Ataque Richter Rauzer;
Wasp 6.50 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B67;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Booot 7.1 64-bit 4CPU;1;0;B66;Ataque Richter Rauzer;
Booot 7.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B66;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;SlowChess Blitz 2.9 64-bit 4CPU;0,5;0,5;B60;Ataque Richter Rauzer;
SlowChess Blitz 2.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B60;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;SlowChess Blitz 2.9 64-bit 4CPU;1;0;B66;Ataque Richter Rauzer;
SlowChess Blitz 2.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B66;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Arasan 23.5 64-bit 4CPU;1;0;B67;Ataque Richter Rauzer;
Arasan 23.5 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B67;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Rebel 16.2 64-bit 4CPU;1;0;B60;Ataque Richter Rauzer;
Rebel 16.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B60;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Revenge 3.0 64-bit 4CPU;1;0;B63;Ataque Richter Rauzer;
Revenge 3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B63;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;rofChade 3.0 64-bit 4CPU;1;0;B63;Ataque Richter Rauzer;
rofChade 3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B63;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Seer 2.6.0 64-bit 4CPU;0,5;0,5;B66;Ataque Richter Rauzer;
Seer 2.6.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B66;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;ShashChess GZ 64-bit 4CPU;0,5;0,5;B66;Ataque Richter Rauzer;
ShashChess GZ 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B66;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;SlowChess Blitz 2.9 64-bit 4CPU;0,5;0,5;B69;Ataque Richter Rauzer;
SlowChess Blitz 2.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B67;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Uralochka 3.39d 64-bit 4CPU;1;0;B66;Ataque Richter Rauzer;
Uralochka 3.39d 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B66;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Wasp 6.50 64-bit 4CPU;1;0;B66;Ataque Richter Rauzer;
Wasp 6.50 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B66;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Berserk 11.1 64-bit 4CPU;0,5;0,5;B67;Ataque Richter Rauzer;
Berserk 11.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B69;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Dragon by Komodo 3.2 64-bit 4CPU;0,5;0,5;B69;Ataque Richter Rauzer;
Dragon by Komodo 3.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B67;Ataque Richter Rauzer;
rofChade 3.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B69;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;rofChade 3.1 64-bit 4CPU;1;0;B67;Ataque Richter Rauzer;
Berserk 12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B61;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Berserk 12 64-bit 4CPU;0,5;0,5;B61;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Caissa 1.13.1 64-bit 4CPU;1;0;B66;Ataque Richter Rauzer;
Caissa 1.14.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B69;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Caissa 1.14.1 64-bit 4CPU;0,5;0,5;B67;Ataque Richter Rauzer;
Caissa 1.15 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B66;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Caissa 1.15 64-bit 4CPU;1;0;B66;Ataque Richter Rauzer;
Obsidian 10.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B63;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Obsidian 10.0 64-bit 4CPU;0,5;0,5;B63;Ataque Richter Rauzer;
Stockfish 16 64-bit 4CPU;Torch v2 64-bit 4CPU;0,5;0,5;B67;Ataque Richter Rauzer;
Obsidian 11.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;D03;Ataque Torre, Variante Tartakower;Ataque Torre, Variante Tartakower
Stockfish 16 64-bit 4CPU;Minic 3.31 64-bit 4CPU;1;0;A45;Ataque Trompovsky;
Minic 3.31 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;Rebel 16.2 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Rebel 16.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;Revenge 3.0 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Revenge 3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;RubiChess 20230410 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
RubiChess 20230410 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;Seer 2.6.0 64-bit 4CPU;1;0;A45;Ataque Trompovsky;
Seer 2.6.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;Rebel 16.2 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Rebel 16.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;Booot 7.1 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Booot 7.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;Caissa 1.9 64-bit 4CPU;1;0;A45;Ataque Trompovsky;
Caissa 1.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A45;Ataque Trompovsky;
Caissa 1.12 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;Caissa 1.12 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
RubiChess 20230918 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;RubiChess 20230918 64-bit 4CPU;1;0;A45;Ataque Trompovsky;
rofChade 3.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;rofChade 3.1 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Dragon by Komodo 3.3 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;Dragon by Komodo 3.3 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;Berserk 12 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Obsidian 8.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;Obsidian 8.0 64-bit 4CPU;0,5;0,5;A45;Ataque Trompovsky;
Stormphrax 4.0.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;Stormphrax 4.0.0 64-bit 4CPU;1;0;A45;Ataque Trompovsky;
Stockfish 16 64-bit 4CPU;SlowChess Blitz 2.9 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;Booot 7.1 64-bit 4CPU;1;0;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;Igel 3.4.0 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Igel 3.4.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;Koivisto 9.0 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Koivisto 9.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;ShashChess GZ 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
ShashChess GZ 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;Uralochka 3.39d 64-bit 4CPU;1;0;B76;Ataque Yugoslavo;
Uralochka 3.39d 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;Wasp 6.50 64-bit 4CPU;1;0;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;Arasan 23.5 64-bit 4CPU;1;0;B76;Ataque Yugoslavo;
Arasan 23.5 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Caissa 1.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;Caissa 1.9 64-bit 4CPU;1;0;B76;Ataque Yugoslavo;
Velvet 5.3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;Velvet 5.3.0 64-bit 4CPU;1;0;B76;Ataque Yugoslavo;
RubiChess 20230918 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;RubiChess 20230918 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Alexandria 6.0.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;Alexandria 6.0.0 64-bit 4CPU;0,5;0,5;B76;Ataque Yugoslavo;
Stockfish 16 64-bit 4CPU;Berserk 11.1 64-bit 4CPU;1;0;B05;Defensa Alekhine;
Berserk 11.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B05;Defensa Alekhine;
Stockfish 16 64-bit 4CPU;rofChade 3.0 64-bit 4CPU;1;0;B04;Defensa Alekhine;
rofChade 3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B04;Defensa Alekhine;
Stockfish 16 64-bit 4CPU;RubiChess 20230410 64-bit 4CPU;1;0;B04;Defensa Alekhine;
RubiChess 20230410 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B04;Defensa Alekhine;
Stockfish 16 64-bit 4CPU;ShashChess GZ 64-bit 4CPU;0,5;0,5;B04;Defensa Alekhine;
ShashChess GZ 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B04;Defensa Alekhine;
Stockfish 16 64-bit 4CPU;SlowChess Blitz 2.9 64-bit 4CPU;1;0;B05;Defensa Alekhine;
SlowChess Blitz 2.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B05;Defensa Alekhine;
Caissa 1.11 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B02;Defensa Alekhine;
Stockfish 16 64-bit 4CPU;Caissa 1.11 64-bit 4CPU;1;0;B02;Defensa Alekhine;
Dragon by Komodo 3.3 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;B03;Defensa Alekhine;
